DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
2468171.20,278.19,10.64,285.38,179.84,241.95,0,1070.39,0,1065.6,0,
2468161.16,276.11,9.73,275.61,157.97,259.2,0,601.4,291.02,589.46,291.02,
2468150.11,24.64,0.96,20.82,13.58,241.93,0,0,0,0,0,
2468140.09,20.53,1.16,17.43,19.54,259.2,0,0,0,0,0,
2468130.06,48.53,4.48,42.6,61.2,241.93,0,0,0,0,0,
2468119.99,47.39,14.05,43.25,219.07,241.93,0,0,0,0,0,
2468109.96,29.05,36.15,26.43,576.56,259.2,0,0,0,0,0,
2468099.93,42.32,1.7,43.53,25.55,241.93,0,0,0,0,0,
2468089.89,137.4,13.75,136.02,216.07,259.2,0,0,0,0,0,
2468079.83,314.53,13.67,316.69,225.72,241.93,0,351.52,0,348.49,0,
2468069.81,146.83,0.83,142.61,11.93,241.93,0,1307.04,291.02,1302.29,291.02,
2468059.73,280.22,11.44,283.29,187.62,259.2,0,0,0,0,0,
2468049.71,21.47,1.37,18.9,19.24,241.95,0,0,0,0,0,
2468039.68,57.02,4.81,53.96,65.56,256.56,0,0,0,0,0,
2468029.66,44.66,15.16,39.67,238.63,245,0,0,0,0,0,
2468019.64,31.92,35.21,29.04,561.11,241.93,0,0,0,0,0,
2468009.61,44.01,1.8,43.26,27.18,259.21,0,0,0,0,0,
2467999.58,139.78,13.74,140.73,216.78,241.93,0,0,0,0,0,
2467989.52,314.77,13.59,320.15,224.67,252.29,0,437.89,0,437.54,0,
2467979.49,144.79,1.14,143.85,17.08,249.4,0,1226.02,291.02,1208.55,291.02,
2467969.42,275.43,10.92,276.23,177.28,241.93,0,0,0,0,0,
2467959.40,21.46,1.14,19.35,18.1,259.2,0,0,0,0,0,
2467949.37,36.11,1.75,30.77,21.52,241.93,0,0,0,0,0,
2467939.35,57.85,4.59,50.18,61.55,248.09,0,0,0,0,0,
2467929.33,19.99,30.43,18.61,485.85,253.73,0,0,0,0,0,
2467919.30,42.07,19.16,42.14,305.12,241.93,0,0,0,0,0,
2467909.28,64.61,3.58,64.08,53.89,259.2,0,0,0,0,0,
2467899.25,210.53,14.95,208.26,233.21,241.93,0,0,0,0,0,
2467889.18,277.05,10.53,279.68,178.29,243.61,0,1086.92,0,1085.13,0,
2467879.14,270.06,9.51,273.29,158.52,258.48,0,568.87,291.02,562.75,291.02,
2467868.31,40.25,1.45,36.5,20.15,241.93,0,0,0,0,0,
2467858.29,19.42,1.19,17.47,17.96,259.2,0,0,0,0,0,
2467848.27,47.95,4.51,43.15,61.4,241.93,0,0,0,0,0,
2467838.25,49.96,13.73,41.69,212.71,241.93,0,0,0,0,0,
2467828.22,31.57,36.6,26.75,583.17,259.2,0,0,0,0,0,
2467818.20,42.44,1.66,43.02,25.35,241.93,0,0,0,0,0,
2467808.16,134.98,13.74,136.39,216.6,259.2,0,0,0,0,0,
2467798.11,314.2,13.71,320.08,226.5,241.93,0,282.57,0,281.29,0,
2467788.09,139.33,0.37,136.93,4.31,241.93,0,1382.34,291.02,1364.59,291.02,
2467778.03,289.81,12.03,288.19,197.29,259.2,0,0,0,0,0,
2467768.00,21.38,1.3,16.91,17.86,241.93,0,0,0,0,0,
2467757.97,57.2,4.9,51.53,65.28,259.2,0,0,0,0,0,
2467747.92,45.73,14.67,42.38,230.11,241.93,0,0,0,0,0,
2467737.89,29.72,35.68,28.05,568.76,241.93,0,0,0,0,0,
2467727.87,45.01,1.86,45.4,27.89,259.2,0,0,0,0,0,
2467717.84,140.78,13.76,139.96,216.12,241.93,0,0,0,0,0,
2467707.78,312.98,13.61,317.11,225.58,259.21,0,354.68,0,352.53,0,
2467697.76,144.5,0.51,141.31,7.15,241.93,0,1303.3,291.02,1299.24,291.02,
2467687.67,271.2,11.18,274.05,182.52,241.93,0,0,0,0,0,
2467677.65,17.7,1.07,18.65,18.32,259.21,0,0,0,0,0,
2467667.63,34.58,1.56,32.64,21.27,241.93,0,0,0,0,0,
2467657.61,55.39,4.48,47.91,59.53,259.2,0,0,0,0,0,
2467647.59,23.69,29.54,18.75,470.04,241.93,0,0,0,0,0,
2467637.56,42.56,20.27,39.96,321.81,241.93,0,0,0,0,0,
2467627.55,63.01,3.42,62.2,51.85,259.2,0,0,0,0,0,
2467617.51,196.23,14.6,198.22,230.46,241.93,0,0,0,0,0,
2467607.45,286.37,10.93,291.09,184.25,259.2,0,1061,0,1049.43,0,
2467597.41,261.74,8.13,259.58,130.43,241.93,0,610.64,291.02,599.37,291.02,
2467587.35,107.75,4.29,100.62,66.27,241.93,0,0,0,0,0,
2467577.33,35.64,1.77,31.57,22.79,259.2,0,0,0,0,0,
2467567.31,56.97,4.57,52.1,62.88,241.93,0,0,0,0,0,
2467557.29,25.53,30.54,22.92,485.67,259.23,0,0,0,0,0,
2467547.26,42.24,19.4,41.1,308.68,241.95,0,0,0,0,0,
2467537.22,64.93,3.55,62.84,53.29,241.93,0,0,0,0,0,
2467527.19,210.73,14.94,208.1,233.45,259.2,0,0,0,0,0,
2467517.13,279.97,10.64,283.59,180.05,241.95,0,1072.73,0,1063.26,0,
2467507.08,270.38,9.4,272.49,155,259.2,0,584.87,291.02,578.64,291.02,
2467496.02,21.61,0.67,22.06,11.27,253.06,0,0,0,0,0,
2467486.00,19.24,1.3,18.06,18.98,241.93,0,0,0,0,0,
2467475.97,57.82,4.93,50.09,63.14,259.2,0,0,0,0,0,
2467465.93,46.56,14.37,40.02,223.87,241.93,0,0,0,0,0,
2467455.91,30.59,36.03,25.91,574.03,245.25,0,0,0,0,0,
2467445.88,42.66,1.75,44.07,26.65,256.54,0,0,0,0,0,
2467435.85,138.77,13.74,139.62,216.32,241.93,0,0,0,0,0,
2467425.78,309.55,13.55,314.84,223.99,259.23,0,376.21,0,375.6,0,
2467415.76,148.25,0.99,143.27,13.31,241.93,0,1286.65,291.02,1271.48,291.02,
2467405.68,278.88,11.06,276.83,179.67,241.93,0,0,0,0,0,
2467395.66,18.92,1.08,17.65,17.05,259.2,0,0,0,0,0,
2467385.64,33.61,1.57,30.47,22.46,241.95,0,0,0,0,0,
2467375.62,56.59,4.48,48.47,59.88,259.2,0,0,0,0,0,
2467365.60,22.42,29.54,19.19,470.43,241.93,0,0,0,0,0,
2467355.57,43.91,20.2,39.28,320.64,241.95,0,0,0,0,0,
2467345.55,62.35,3.4,59.66,51.14,259.23,0,0,0,0,0,
2467335.52,193.93,14.51,192.86,228.36,241.95,0,0,0,0,0,
2467325.45,289.86,10.99,293.68,185.98,259.2,0,1058.84,0,1050.83,0,
2467315.42,259.37,7.59,258,120.87,241.93,0,612.69,291.02,604.23,291.02,
2467305.35,105.95,4.68,104.76,75.89,241.93,0,0,0,0,0,
2467295.33,36.74,1.84,32.43,22.78,259.23,0,0,0,0,0,
2467285.31,57.17,4.65,50.15,62.54,241.93,0,0,0,0,0,
2467275.29,25.49,30.53,21.52,485.98,259.2,0,0,0,0,0,
2467265.26,43.54,19.38,41.18,307.93,241.93,0,0,0,0,0,
2467255.21,64.65,3.55,64.45,53.61,241.93,0,0,0,0,0,
2467245.18,207.73,14.87,207.44,233.01,259.2,0,0,0,0,0,
2467235.12,278.24,10.62,283.84,179.7,241.95,0,1068.92,0,1067.07,0,
2467225.08,274.18,9.6,270.79,155.82,259.23,0,598.59,291.02,590.5,291.02,
2467214.01,18.18,0.62,15.46,9.5,241.93,0,0,0,0,0,
2467203.99,20.17,1.28,18.73,19.69,241.93,0,0,0,0,0,
2467193.96,57.31,4.79,51.04,64.01,259.2,0,0,0,0,0,
2467183.89,44.04,14.39,39.89,223.93,241.93,0,0,0,0,0,
2467173.86,29.83,35.95,26.7,572.42,259.2,0,0,0,0,0,
2467163.84,45.01,1.78,44.01,26.66,241.93,0,0,0,0,0,
2467153.81,139.4,13.77,138.65,216.92,241.93,0,0,0,0,0,
2467143.74,311.86,13.65,315.57,225.75,259.23,0,370.59,0,369.91,0,
2467133.72,144.63,0.94,142.58,14.82,241.93,0,1288.56,291.02,1281.27,291.02,
2467123.66,279.82,11.29,277.86,184.21,259.2,0,0,0,0,0,
2467113.64,19.35,1.19,17.78,16.04,241.93,0,0,0,0,0,
2467103.62,37.74,1.63,33.84,22.67,241.95,0,0,0,0,0,
2467093.60,56.71,4.46,48.96,60.08,259.2,0,0,0,0,0,
2467083.57,21.15,29.83,17.62,474.53,241.93,0,0,0,0,0,
2467073.54,41.94,19.9,41.22,316.66,259.2,0,0,0,0,0,
2467063.53,63.47,3.48,63.42,52.25,241.93,0,0,0,0,0,
2467053.49,200.78,14.75,201.05,230.46,241.95,0,0,0,0,0,
2467043.44,285.69,10.81,289.15,181.6,259.23,0,1065.9,0,1057.7,0,
2467033.40,266,8.48,263.4,136.66,241.93,0,603.5,291.02,593.76,291.02,
2467023.35,104.08,4.19,102.69,66.81,259.2,0,0,0,0,0,
2467013.33,35.95,1.75,33.18,22.69,241.95,0,0,0,0,0,
2467003.31,62.18,4.71,56.18,62.67,241.93,0,0,0,0,0,
2466993.29,19.59,30.95,17.11,494.13,259.2,0,0,0,0,0,
2466983.26,46.23,18.93,41.7,300.09,241.93,0,0,0,0,0,
2466973.24,66.06,3.57,63.97,53.74,259.2,0,0,0,0,0,
2466963.21,209.23,14.89,209.34,233.69,241.93,0,0,0,0,0,
2466953.14,275.95,10.5,281.76,178.4,241.93,0,1076.25,0,1076.98,0,
2466943.10,271.16,9.6,274.44,156.25,259.2,0,575.22,291.02,562.08,291.02,
2466931.98,15.47,0.57,15.59,9.88,241.93,0,0,0,0,0,
2466921.96,19.1,1.23,17.35,19.63,241.93,0,0,0,0,0,
2466911.94,57.6,4.82,51.96,65.18,259.2,0,0,0,0,0,
2466901.92,45.36,14.48,37.91,225.78,241.93,0,0,0,0,0,
2466891.90,32.19,35.82,26.2,570.77,259.2,0,0,0,0,0,
2466881.87,43.95,1.75,43.21,26.74,241.93,0,0,0,0,0,
2466871.84,139.03,13.8,137.59,215.98,241.93,0,0,0,0,0,
2466861.79,312.29,13.62,315.4,224.57,259.2,0,370.2,0,369.41,0,
2466851.77,144.9,0.58,140.24,7.85,241.93,0,1294.8,291.02,1276.23,291.02,
2466841.68,280.08,11.32,279.06,181.34,259.2,0,0,0,0,0,
2466831.66,18.84,1.13,17.74,15.37,241.93,0,0,0,0,0,
2466821.64,33.98,1.55,33.05,21.18,241.93,0,0,0,0,0,
2466811.62,60.01,4.52,56.4,62.61,259.2,0,0,0,0,0,
2466801.60,19.59,30.15,15.39,479.86,241.93,0,0,0,0,0,
2466791.57,49.16,19.53,45.19,310.11,259.2,0,0,0,0,0,
2466781.55,62.82,3.43,60.6,51.86,241.93,0,0,0,0,0,
2466771.52,196.05,14.58,197.24,228.74,241.93,0,0,0,0,0,
2466761.46,286.93,10.95,293.33,184.97,259.23,0,1059.26,0,1053.99,0,
2466751.42,255.7,7.82,258.77,130.83,241.95,0,608.72,291.02,598.01,291.02,
2466741.36,110.16,4.5,102.92,71.81,259.2,0,0,0,0,0,
2466731.34,35.27,1.73,31.4,22.03,241.93,0,0,0,0,0,
2466721.32,64.08,4.78,53.2,60.95,241.93,0,0,0,0,0,
2466711.30,20.33,30.52,17.35,485.2,259.22,0,0,0,0,0,
2466701.27,43.02,19.32,40.48,306.47,241.93,0,0,0,0,0,
2466691.25,65.53,3.59,64.92,54.19,259.2,0,0,0,0,0,
2466681.22,213.95,14.92,213.05,234.03,241.95,0,0,0,0,0,
2466671.16,278.43,10.59,281.95,178.78,241.95,0,1071.65,0,1064.34,0,
2466661.11,274.42,9.63,275.66,158.14,259.2,0,583.07,291.02,575.96,291.02,
2466650.03,19.26,0.74,17.06,10.22,241.93,0,0,0,0,0,
2466640.01,17.49,1.16,19.06,19.23,259.2,0,0,0,0,0,
2466629.98,54.79,4.77,51.66,65.19,241.93,0,0,0,0,0,
2466619.92,43.9,14.32,37.89,224.33,241.93,0,0,0,0,0,
2466609.90,30.88,35.93,26.09,572.28,259.2,0,0,0,0,0,
2466599.87,46.12,1.82,44.7,27.23,241.93,0,0,0,0,0,
2466589.84,138.99,13.81,137.58,215.84,259.23,0,0,0,0,0,
2466579.78,313.23,13.71,317.88,225.94,241.93,0,380.36,0,379.23,0,
2466569.75,143.55,0.9,141.77,13.64,241.93,0,1277.53,291.02,1269.28,291.02,
2466559.69,285.71,11.84,286.19,190.45,259.2,0,0,0,0,0,
2466549.67,19.44,1.13,16.68,16.59,241.93,0,0,0,0,0,
2466539.65,35.78,1.62,29.91,18.59,255.8,0,0,0,0,0,
2466529.63,53.96,4.38,48.81,59.77,245.74,0,0,0,0,0,
2466519.61,20.14,29.85,18.64,475.49,241.93,0,0,0,0,0,
2466509.59,43.37,19.81,41.97,314.97,259.2,0,0,0,0,0,
2466499.57,66.86,3.51,67.6,52.86,241.93,0,0,0,0,0,
2466489.54,202.25,14.75,200.24,230.72,252.95,0,0,0,0,0,
2466479.48,290.68,10.97,292.5,183.58,249.61,0,1067.78,0,1056.97,0,
2466469.44,266.78,8.67,265.29,141.48,241.93,0,599.16,291.02,593.01,291.02,
2466459.37,98.23,3.7,99.06,60.43,259.2,0,0,0,0,0,
2466449.35,33.38,1.67,32.78,23.72,241.93,0,0,0,0,0,
2466439.33,58.49,4.64,51.3,61.72,247.58,0,0,0,0,0,
2466429.31,21.72,30.64,17.39,487.8,254.09,0,0,0,0,0,
2466419.28,43.43,19.14,41.26,304.58,241.93,0,0,0,0,0,
2466409.26,64.7,3.56,63.1,53.84,259.2,0,0,0,0,0,
2466399.23,208.59,14.87,207.8,233.43,241.93,0,0,0,0,0,
2466389.17,278.17,10.56,282.06,178.91,243.39,0,1072.83,0,1063.16,0,
2466379.12,271.05,9.54,272.39,157.53,259.12,0,582.74,291.02,573.28,291.02,
2466368.03,21.26,0.8,16.56,10.4,241.93,0,0,0,0,0,
2466358.01,20.51,1.25,17.85,17.91,259.2,0,0,0,0,0,
2466347.99,56.81,4.79,52.42,64.79,241.93,0,0,0,0,0,
2466337.92,41.79,14.46,37.4,226.77,241.93,0,0,0,0,0,
2466327.89,29.79,35.72,27.61,569.79,259.2,0,0,0,0,0,
